STATECASESID,DATE_,STATECODE,POSITIVE_,NEGATIVE,TOTALRESULTS,HOSPITILIZED_CURRENTLY,INICU_CURRENTLY,ONVENTILATOR_CUMULATIVE,RECOVERED,DATAQUALITYGRADE,DEATH,HOSPITALIZED,TOTALTESTVIRAL,NEGATIVETESTSVIRAL,POSITIVETESTSVIRAL,POSITIVECASEVIRAL,DEATHCONFIRMED,DEATHINCREASE,HOSPITALIZEDINCREASE,HASH_
4641,16-10-2020,UT,91957,833471,1231602,304,96,400,68092,A+,537,4559,1231602,1132959,98643,91957,,8,48,0ef004b3c0663eca893f6cbb55a2c3977630ea20
4642,16-10-2020,VA,164124,2192773,2346899,1002,222,,18911,A+,3408,11780,,,183829,154126,3161,20,76,f78ff173642b99255a6dc8a1737909793f9e1549
4643,16-10-2020,VI,1329,21175,22504,,,,1294,D,21,,22534,,,,21,1,0,7df3d10b413cc5f50f7eace230f9ad2708cd8813
4644,16-10-2020,VT,1923,173381,342441,1,,,1687,B,58,,342441,,,1917,58,0,0,29dca3d004bce4658b32f7229e9dd816be4d2509
4645,16-10-2020,WA,99674,2073007,2169192,376,77,,,B,2232,7956,,,,97960,2232,11,73,ef70dd132d8eae1efcb04d59c74d6d1a6f5e75fc
4646,16-10-2020,WI,175227,1590569,2815801,1101,274,,130231,A+,1588,9027,,,,166186,1574,23,135,7c1c0d86973417fa4fd58c6bd557bfbb6e13f106
4647,16-10-2020,WV,19580,647999,667579,188,70,,14269,B,396,,666717,,,18718,392,3,0,1b187ae5fdb40b7eadc6690db4157eb329d46974
4648,16-10-2020,WY,8665,108754,232407,51,,,6494,B,57,359,232407,223260,9147,7337,,0,5,ba2b3a7732b3e6b923403ea8148f69b08ec368ab
4649,15-10-2020,AK,10380,509081,519461,60,,,6066,A,65,365,519461,508970,10178,,65,1,9,242d37bbc252e847924bc9c996c543084042ee16
4650,15-10-2020,AL,169162,1085415,1234074,844,,1091,74238,A,2756,18635,,,,148659,2590,50,0,d0288500b91bc04336fceee141ef84d0ce0f8405
4651,15-10-2020,AR,96524,1094699,1186002,587,236,760,86447,A+,1645,6199,1186002,1094699,,91303,1494,11,51,9e5ef136e493f90d74a1d610451f2c261f5dcaac
4652,15-10-2020,AS,0,1616,1616,,,,,D,0,,1616,,,0,,0,0,dd761d084c96db69d91d8b752bc74edca94e3608
4653,15-10-2020,AZ,228748,1377341,2471838,726,173,,37782,A+,5789,20462,2471838,,,223692,5502,17,96,5ee5637ae0a80f0d4627492076bc0cefe9f58b2e
4654,15-10-2020,CA,858401,15659411,16517812,3078,706,,,B,16757,,16517812,,,858401,,118,0,f8fd6a4778092b5e5672d19071ef9465adc0e30e
4655,15-10-2020,CO,81918,974189,1625527,420,,,7034,A,2162,8127,,,,76377,1783,2,59,00205cb4a97484f003abbc2c7bdb9cff4c0dce95
4656,15-10-2020,CT,62028,1872541,1934569,191,,,9651,B,4540,12043,1932064,,,59523,3640,3,198,1ef37119241fd0da301d19e822bee53e5973a969
4657,15-10-2020,DC,16166,434448,450614,88,22,,12681,A+,638,,,,,,,0,0,b6779aac88f5dbfbbbe3acd25b5917d601b77583
4658,15-10-2020,DE,22560,296073,492216,111,28,,11724,A+,661,,,,24954,21473,580,1,0,9689ad9c039e23466ea82b3a7c6d225c83f24e77
4659,15-10-2020,FL,735685,4898533,8887690,2119,,,,A,15932,47223,8129895,7127425,958498,712788,,144,212,a2d559484061b48f72f6aef4541a891d0c7c0f56
4660,15-10-2020,GA,336241,2893540,3229781,1682,,,,A,7492,30081,3229781,,314154,336241,,22,163,c10ec62565700bfffad1381aa97465cd12387483
4661,15-10-2020,GU,3427,54038,57465,72,19,,2294,A,62,,57433,,,3417,,1,0,1638e7f015400b0a4bb08710f9da03a8e66ef33e
4662,15-10-2020,HI,13872,295153,462541,105,27,,10883,B,183,961,,,13613,13674,,10,10,cd60073a706042ac6c64e20a583e7e9dbf80b882
4663,15-10-2020,IA,98717,736889,835606,482,107,,80203,A+,1506,,,,,98717,,9,0,61b06378bfb692154f31d2d0fd9b0c56b21009c8
4664,15-10-2020,ID,49892,298219,342870,219,56,,24983,A,516,2122,,,,44651,475,4,36,61e7b9e5c934c2b7812058bdd0bdd4c8577d069e
4665,15-10-2020,IL,334658,6199389,6534047,1932,388,,,A,9373,,6531009,,,331620,9127,53,0,3b6c8bbd600eddd61c6c30897954695eb21189ad
4666,15-10-2020,IN,141212,1380190,2450279,1355,377,,105594,A+,3864,14353,2450279,,140901,,3632,28,125,442d935e131d8956c42c1e9f63aa148226778397
4667,15-10-2020,KS,69155,510672,579827,488,128,280,2340,A+,838,3309,,,,,,0,0,92d12b1ba573c88e9e09d8d84e2888f40ac2e48d
4668,15-10-2020,KY,84195,1561184,1633080,738,192,,16928,B,1296,6506,1633080,,,71896,1282,20,27,793c3201fb1f25994b8c16cdac98d63c1f3f1114
4669,15-10-2020,LA,176952,2369055,2546007,566,,,161792,A,5707,,2542919,,,173864,5507,12,0,218aa0cb4a19cf83212b18acc01d0ad833dbd1ad
4670,15-10-2020,MA,141579,2333037,4955322,503,92,,118892,A+,9672,12946,4955322,,180913,138651,9452,25,13,1280c765d52e6505903144aa0b2bbad22e9b7054
4671,15-10-2020,MD,133548,1637287,2985460,412,109,,7851,A,4028,16255,2985460,,160667,133548,3883,6,40,adbda5c0ec9f9e0953b3679212aa6444efa1a1cc
4672,15-10-2020,ME,5836,520231,526067,11,5,,5070,A+,144,464,525437,518593,6523,5206,143,1,1,9e7b2452da5b01b528fe32e1ae073f07a2e51177
4673,15-10-2020,MI,156913,4015076,4171989,1000,254,,104271,A+,7302,,4208358,4015076,193282,141091,6973,34,0,d6167bcb49d4c4e5bcdb5142a4b43876136b58bc
4674,15-10-2020,MN,117106,1506411,2386848,445,115,,104547,A,2199,8652,,,,116865,2192,19,67,3474b314bac1331e3dbe291ff0294f1c92e06e7a
4675,15-10-2020,MO,150554,1208692,2222854,1443,,,,B,2442,,2222854,2045374,173299,150554,,22,0,46eca1788e60d3dc9d77b4b69a8c65a60aa064d3
4676,15-10-2020,MP,77,15456,15533,,,,29,D,2,4,21290,,,77,2,0,0,ef88eb14cdc1bd178b3f36f4a4255d3e83219748
4677,15-10-2020,MS,108139,704655,812794,598,138,,94165,A+,3152,6237,796968,,,97236,2864,12,0,23250f33903696181ef52b4d72dc7489ece34f1d
4678,15-10-2020,MT,20933,398899,419832,301,,,12854,C,230,959,419832,,,20933,,5,39,bc2907bae62896e2fa800e82103a851dce9bbd1b
4679,15-10-2020,NC,238939,3261824,3500763,1140,296,,206471,A+,3874,,3493186,,,231362,3831,18,0,a4277eb88f934771e9151fc317b56ac7f0cc4ea9
4680,15-10-2020,ND,29522,235108,710266,207,38,,24336,B,375,1192,738020,,,29438,,5,33,4ef56bf5b3252e38a231d74df7af0ad4467bd603
4681,15-10-2020,NE,54467,469310,756460,311,,,37122,A,530,2593,756460,690063,65022,54467,,3,38,fd97cd3fb5dd1edd9198b469f725485ad6d24900
4682,15-10-2020,NH,9426,294552,518144,18,,,8134,B,463,761,518144,,,9024,,5,1,9cd6e33b66215cb0d8683527aee385f823367c00
4683,15-10-2020,NJ,223927,3853363,4077290,733,178,,35654,B,16197,24092,4070357,,,216994,14408,6,115,061f02e6ebee820bdf12f97ae6ea22e7283d6359
4684,15-10-2020,NM,34958,992434,1027392,150,,,19457,B,922,3819,1027392,,,,,1,30,88fa9453f936004bcfa4c5429173a70847ac335c
4685,15-10-2020,NV,87969,657375,1133788,486,142,,,A+,1698,,1154583,,,87969,,7,0,ac539bd6450d053baf3add91c8550ceb72b67d42
4686,15-10-2020,NY,479400,11995992,12475392,897,197,,78006,B,25618,89995,,,,,,13,0,4ee30fb81afb4f96ae939ceb2ebfee59338d2717
4687,15-10-2020,OH,175843,3585136,3757325,1041,266,,147063,A+,5038,16824,3757325,,186684,165627,4730,5,108,332c3c20ccc8f7001e8a7271f383b8bee9fce045
4688,15-10-2020,OK,103836,1294932,1398768,781,293,,88780,A+,1143,7601,1412757,1294932,115879,103836,,11,72,cb14d3f7d69be67d29c071f7f652a4d8b27c343f
4689,15-10-2020,OR,38525,730751,1246662,199,49,,5870,A+,611,2868,1246662,1183240,63422,36585,,3,20,5436cf5d19c5039f671a8a5ad4ed565fde857d53
4690,15-10-2020,PA,177520,2089197,2266717,799,,,142016,A+,8432,,3482076,,,170794,,21,0,46ad51e882054f4f49335528e816947045ff7f74
4691,15-10-2020,PR,27947,305972,333919,354,62,,25071,B,743,,310546,303412,7002,27947,562,1,0,3147b1de800a26a1311ba02ceeb5bcaf2d360c3a
4692,15-10-2020,RI,27438,359338,927184,129,12,,2493,A+,1149,2999,,889584,37600,,,2,15,54dc3c95c52f5b05b253e46ef918a8c51c15870f
4693,15-10-2020,SC,161106,1385502,1546608,762,204,,80460,A+,3607,9798,1540371,1338036,202335,154869,3400,14,63,afcccdb01269c2cd6da5692088211a8f47bb0e83
4694,15-10-2020,SD,31012,193227,224239,304,,,23576,A,304,2000,347216,,,30220,,13,37,d2f487bf2cd38591c9bbbfd54c4a3284b00f191c
4695,15-10-2020,TN,222827,3045836,3268663,1331,378,,200164,A+,2864,9416,3257952,3000124,257828,212116,2731,36,45,a88781e0d3124696c0c6f6f2434469a88e0b7e98
4696,15-10-2020,TX,809808,6602695,7412503,4263,1290,,716015,A,16812,,7412503,,886489,809808,,95,0,64d7f69b7bf4567b7d5b150775a714e23766b076
4697,15-10-2020,UT,90461,833471,1219473,277,99,400,66683,A+,529,4511,1219473,1122108,97365,90461,,2,51,207d57aef8b59faa3f1f54ed0fbc3d4898225dcb
4698,15-10-2020,VA,162941,2173685,2326802,1009,220,,18831,A+,3388,11704,,,182743,153117,3149,7,76,36fcd0add0fa49eeb47972454f3a7877438bbbe8
4699,15-10-2020,VI,1327,21038,22365,,,,1292,D,20,,22396,,,,20,0,0,5a8ff2caf0fedd60e39b059bc61372775b246fb1
4700,15-10-2020,VT,1910,172561,340575,6,,,1685,B,58,,340575,,,1904,58,0,0,36283e172c0b5fa477b00781822f0089d8699144
4701,15-10-2020,WA,98903,2051000,2146509,373,82,,,B,2221,7883,,,,97214,2221,10,9,98283d94a968aaa77169065c2a9875f5ed433433
4702,15-10-2020,WI,171122,1579844,2780644,1043,264,,127576,A+,1565,8892,,,,162325,1553,18,138,6ae32b6586b1eef0d0076a80d3dd23d827e84480
4703,15-10-2020,WV,19082,637332,656414,180,60,,14066,B,393,,655692,,,18360,389,2,0,4eed909335f3339d068764611ab782a874caddbe
4704,15-10-2020,WY,8375,108014,229079,51,,,6360,B,57,354,229079,220248,8831,7089,,0,2,954f95bb986ab52d1b189cd23c610143476b0fcf
4705,14-10-2020,AK,10214,506963,517177,56,,,5950,A,64,356,517177,506755,10109,,64,4,1,45d2cf92faf4e998bfb36d60c0b8fe5780829a2d
4706,14-10-2020,AL,167977,1078476,1226221,834,,1085,74238,A,2706,18635,,,,147745,2549,41,195,0955c15f3082002ad0176154fe1c3e6674689910
4707,14-10-2020,AR,95246,1083107,1173342,582,241,755,85597,A+,1634,6148,1173342,1083107,,90235,1484,23,79,d8d50a3916307c361e1582266619c23285b0a587
4708,14-10-2020,AS,0,1616,1616,,,,,D,0,,1616,,,0,,0,0,08ef7d0528b10459895f797c7c0b2763e0724069
4709,14-10-2020,AZ,227635,1366610,2447427,711,163,,37586,A+,5772,20366,2447427,,,222592,5485,5,54,022ca75eb1aacde518b5392592844f8f761997a0
4710,14-10-2020,CA,855072,15570415,16425487,3126,753,,,B,16639,,16425487,,,855072,,58,0,b309f6eebe113a07925ef96caaae07b569ef2428
4711,14-10-2020,CO,80777,964490,1602956,405,,,6968,A,2160,8068,,,,75285,1781,7,65,82b758eee681996dd37eb8d22c81ef18dc335200
4712,14-10-2020,CT,61861,1856863,1918724,188,,,9522,B,4537,11845,1916247,,,59384,3637,4,0,bd616497a47eafb97fdbf333ffec08da695e0b24
4713,14-10-2020,DC,16132,432130,448262,86,24,,12627,A+,638,,,,,,,1,0,510c8d631a14765371552259b3f2b3b4cedf9477
4714,14-10-2020,DE,22465,294358,490608,116,22,,11665,A+,660,,,,24902,21380,580,1,0,a502fb530a852f5530332242ab5056c1ca9b6b69
4715,14-10-2020,FL,732399,4873615,8824105,2155,,,,A,15788,47011,8083092,7084988,954232,710164,,66,258,cc08912c58c9f7f616422430043c9762a1a8f2fc
4716,14-10-2020,GA,334601,2869707,3204298,1705,,,,A,7470,29918,3204298,,312932,334601,,16,156,93a137798c04ebb0a23debb08f320ff04fa1d8d2
4717,14-10-2020,GU,3341,53553,56894,62,14,,2295,A,61,,56865,,,3331,,0,0,0e65229516f4783cf2dc1d9488cd1006fbbe249d
4718,14-10-2020,HI,13773,295153,458472,109,26,,10834,B,173,951,,,13520,13575,,4,12,61d1416d0e231b63c9bb43b39e212a2e361108b9
4719,14-10-2020,IA,97384,731869,829253,473,106,,79121,A+,1497,,,,,97384,,12,0,e9e26e02ee7c4149893a765bcfa14e2f0b5fa985
4720,14-10-2020,ID,49247,296616,340776,187,54,,24699,A,512,2086,,,,44160,471,2,28,7275d946f1e357ec1b8b5c46e9ef5ca307ef7b7e
4721,14-10-2020,IL,330643,6136318,6466961,1974,390,,,A,9320,,6463923,,,327605,9074,48,0,dfa93c0eec71c13bc9dd653433d9bb9136b8de8f
4722,14-10-2020,IN,139269,1371791,2442572,1357,396,,104647,A+,3836,14228,2442572,,140388,,3609,14,113,08a8b540502ac546bc6c06ea456d794e86e804bb
4723,14-10-2020,KS,69155,510672,579827,488,128,280,2340,A+,838,3309,,,,,,67,70,b75f102a334aa2ed3ac17bda07e36a330574f183
4724,14-10-2020,KY,83013,1530828,1601887,711,185,,16756,B,1276,6479,1601887,,,71059,1262,7,220,4d140e22a8d9fe5c74834a62036afb75f648907b
4725,14-10-2020,LA,176209,2343514,2519723,582,,,161792,A,5695,,2516635,,,173121,5495,16,0,38e9508564c08fdbff9342377a45b0231724a033
4726,14-10-2020,MA,140992,2318868,4896199,499,88,,118892,A+,9647,12933,4896199,,180226,138083,9429,17,34,9d55a23481fbdbd1ff5c1681664e37cbd023d9f7
4727,14-10-2020,MD,132918,1627736,2956824,417,113,,7812,A,4022,16215,2956824,,159744,132918,3877,10,65,2cb86483604070082f41878fe514ca75995c76d0
4728,14-10-2020,ME,5816,514586,520402,8,3,,5052,A+,143,463,519777,512968,6492,5191,142,0,0,a7aeb912d9900e42a6bcf98a9fdc5d340071a02c
4729,14-10-2020,MI,154455,3974957,4129412,899,230,,104271,A+,7268,,4166236,3974957,191279,139061,6941,13,0,87da04e417ed25ca659441a9ba10ea1526dcf13e
4730,14-10-2020,MN,115943,1497468,2367344,487,134,,103830,A,2180,8585,,,,115763,2174,-24,85,f3c74c0d591b3e98230a12986060bc7d922e70af
4731,14-10-2020,MO,148679,1203482,2206374,1413,,,,B,2420,,2206374,2030924,171289,148679,,-2,0,b5cec6097f64f909816dbc3cfec5c3456400304e
4732,14-10-2020,MP,77,15456,15533,,,,29,D,2,4,21290,,,77,2,0,0,52fabf3ad9f4a6fddf49b3f3f5aa670ea4560d79
4733,14-10-2020,MS,106817,704655,811472,633,143,,94165,A+,3140,6237,796968,,,96505,2855,25,0,0fb1a6c0e0dd46837880ac9480daa9bd439c0dce
4734,14-10-2020,MT,20210,394369,414579,292,,,12068,C,225,920,414579,,,20210,,8,9,f2b801f7367c7e36f3c62394252212fda501d3b1
4735,14-10-2020,NC,236407,3230828,3467235,1152,300,,206471,A+,3856,,3459943,,,229115,3813,40,0,97a6e1ee2f4ece79dcb9f131e3391aa8043aa603
4736,14-10-2020,ND,28826,234286,703534,206,39,,23823,B,370,1159,730902,,,28750,,8,33,f318937276b03aaab88353c89a1b94654cb45b66
4737,14-10-2020,NE,53543,465868,744183,315,,,36950,A,527,2555,744183,678890,63929,53543,,5,12,a98957fdf7475a85596ec67f40e3fa60c4ab0889
4738,14-10-2020,NH,9349,292652,513452,19,,,8068,B,458,760,513452,,,8967,,2,2,ccdaadc4089e6a879e766423d619566859413fde
4739,14-10-2020,NJ,222748,3820844,4043592,699,168,,35580,B,16191,23977,4036867,,,216023,14402,9,0,8964aa1a5a0e94481465ba66fc4db3231be30ff3
4740,14-10-2020,NM,34290,984739,1019029,145,,,19127,B,921,3789,1019029,,,,,3,31,2a03bccadc4100b434d28e58027f047f9766ab95
4741,14-10-2020,NV,87314,660104,1124508,519,133,,,A+,1691,,1154583,,,87314,,17,0,72296feb37972d90f1543b9ed53e2abc0a943b23
4742,14-10-2020,NY,477940,11864240,12342180,938,201,,77870,B,25605,89995,,,,,,7,0,f641e809e8a454c168547ee11e408f307d0736d0
4743,14-10-2020,OH,173665,3552987,3723784,1042,268,,145969,A+,5033,16716,3723784,,184878,163558,4725,16,151,8b3c155f99c53c61c020b76eecd31bebb02a8d0d
4744,14-10-2020,OK,102615,1283054,1385669,749,289,,87575,A+,1132,7529,1399385,1283054,114382,102615,,13,264,cd88b6ff9b6eeea6a9f72b2615aa56762ef5e6f9
4745,14-10-2020,OR,38160,723392,1229877,202,50,,5870,A+,608,2848,1229877,1167008,62869,36242,,3,31,19d547852db9c6ae2751504b429f6250c51105f8
4746,14-10-2020,PA,175922,2074729,2250651,749,,,140737,A+,8411,,3447295,,,169350,,27,0,e67fdc1b7cbdf279a07e557c01af2b548e601d83
4747,14-10-2020,PR,27629,305972,333601,343,53,,24788,B,742,,310546,303412,7002,27629,561,4,0,a22205a17fc2fe8e485bf910d1bc06795dd15c65
4748,14-10-2020,RI,27164,355899,912259,131,13,,2481,A+,1147,2984,,874953,37306,,,8,23,b1ef4a8dd6278facaf8b54c9b97dfcee49fb0703
4749,14-10-2020,SC,159809,1366756,1526565,792,204,,79781,A+,3593,9735,1520485,1319612,200873,153729,3387,17,81,59ca9ae3dc8f3e742b906aa34e3a64c4c43839b0
4750,14-10-2020,SD,30215,192106,222321,303,,,23320,A,291,1963,342962,,,29520,,3,52,5e653ef601db76a3fa14d70d5a1090b39992c1b2
4751,14-10-2020,TN,220538,3023283,3243821,1301,354,,198465,A+,2828,9371,3233299,2977826,255473,210016,2698,31,62,555d1090f89a7895710a0c7bb5bdbe04fe95631a
4752,14-10-2020,TX,805082,6537039,7342121,4131,1237,,711438,A,16717,,7342121,,879936,805082,,95,0,41b2c0926e6e9a4f49f65bcfccdf85a615c81069
4753,14-10-2020,UT,88963,828058,1206166,269,97,396,65472,A+,527,4460,1206166,1110397,95769,88963,,5,77,3345a165d6703550f5cb70f795251ee9b4f57f9e
4754,14-10-2020,VA,161610,2152330,2304369,1007,230,,18747,A+,3381,11628,,,181521,152039,3141,9,30,046dd4bde25a95f6fda7eafd81e45ca1dcdc525b
4755,14-10-2020,VI,1328,20859,22187,,,,1293,D,20,,22218,,,,20,0,0,34d29741ded09c7c91436eb8d7e05b8285fbf5a0
4756,14-10-2020,VT,1894,171534,335448,0,,,1678,B,58,,335448,,,1889,58,0,0,1e23167fa95f46888242e6e33febc5ada197946e
4757,14-10-2020,WA,98135,2029133,2123908,367,83,,,B,2211,7874,,,,96485,2211,0,0,0a5242b75b0a7b99354f08bc3dd4bc8511a9e03a
4758,14-10-2020,WI,167082,1568389,2746785,1017,246,,125411,A+,1547,8754,,,,158578,1536,29,153,68bdf7e01d7cdfbaf5d1727a2da975e6f5510987
4759,14-10-2020,WV,18818,630647,649465,180,61,,13815,B,391,,648771,,,18124,387,4,0,18a381610dd6cabae754bd8f1f784040d34efe81
4760,14-10-2020,WY,8177,102849,225518,45,,,6261,B,57,352,225518,216983,8535,6914,,0,9,12e58f0f1d7e25bca6fc1a0ba2444708798c770a
4761,13-10-2020,AK,10059,504730,514789,59,,,5909,A,60,355,514789,504419,10057,,60,0,3,b4e4b3317ecd845fe252382bf94d9169c82be013
4762,13-10-2020,AL,167193,1074124,1221207,823,,1072,71240,A,2665,18440,,,,147083,2509,0,261,90648f8c8e51c0ac99691bc4243ae93a2526879f
4763,13-10-2020,AR,94167,1073314,1162665,601,246,747,84804,A+,1611,6069,1162665,1073314,,89351,1463,25,109,da85eb083d8d2a6be7958a75d45695b766ef5365
4764,13-10-2020,AS,0,1616,1616,,,,,D,0,,1616,,,0,,0,0,32f2b5d3d793aad59fd911a49fa8f8047b273a8c
4765,13-10-2020,AZ,226734,1359347,2425141,706,146,,37403,A+,5767,20312,2425141,,,221804,5479,8,55,d7bc28eeac5d6838eba648f45bf7e60da5fa2289
4766,13-10-2020,CA,852406,15481311,16333717,3060,748,,,B,16581,,16333717,,,852406,,9,0,c2a6ea5758f5983c097a11e27896a489d4393084
4767,13-10-2020,CO,80085,957890,1588632,385,,,6922,A,2153,8003,,,,74655,1777,37,88,91316c9f66cee67e89d958608b15c70c720e9019
4768,13-10-2020,CT,61697,1848651,1910348,172,,,9522,B,4533,11845,1907888,,,59237,3634,1,0,a76c57f8370d1de0d5a9d2576891babb3246f93c
4769,13-10-2020,DC,16068,427013,443081,88,25,,12583,A+,637,,,,,,,0,0,543c7100b500465421e1b802a6cda8bcc26abe56
4770,13-10-2020,DE,22394,293358,486901,112,19,,11588,A+,659,,,,24773,21311,579,3,0,fedba866012d6ae54e5aa459ea33b27df38e313f
4771,13-10-2020,FL,729591,4854675,8771490,2127,,,,A,15722,46753,8042762,7048383,950606,708010,,123,212,49a1f71bff922182c9113cf00cde45689d258a30
4772,13-10-2020,GA,333304,2847244,3180538,1753,,,,A,7454,29762,3180538,,312040,333304,,25,106,dfbaf40bbe52639761fbea7d7a44af6305a07ff3
4773,13-10-2020,GU,3266,53102,56368,62,13,,2190,A,61,,56343,,,3257,,1,0,50e78a7e3f4e03926f194aca60c6c5d94e4edaa1
4774,13-10-2020,HI,13712,295153,456118,103,34,,10781,B,169,939,,,13466,13514,,0,4,cb73c91e79d639b64ebc58c7ebf37f94511c0984
4775,13-10-2020,IA,96338,728531,824869,463,114,,78136,A+,1485,,,,,96338,,13,0,af886ed6f48b7d67911c4ed235dab0e5767bd492
4776,13-10-2020,ID,48663,294340,338000,187,54,,24523,A,510,2058,,,,43660,469,3,17,18f1232afb27fd236f5ef85333fbc21aeed7f804
4777,13-10-2020,IL,327781,6086511,6414292,1848,406,,,A,9272,,6411254,,,324743,9026,29,0,a82055ce76fc887bf86b7f18d4aacd0f70dc56b9
4778,13-10-2020,IN,138104,1365819,2421127,1288,382,,103722,A+,3822,14115,2421127,,139052,,3595,27,131,3a4389102fbc8d5f9fbd42ca23b445adb3ed4dfd
4779,13-10-2020,KS,67862,504219,572081,355,111,274,2301,A+,771,3239,,,,,,0,0,9c5e46a8522440201d8a4f5d1b7a295a30bcee22
4780,13-10-2020,KY,81691,1520925,1591005,704,170,,13986,B,1269,6259,1591005,,,70080,1256,14,138,84367351d9a421e89c9b54d5e5b3b8772f5d237d
4781,13-10-2020,LA,175329,2337518,2512847,573,,,157873,A,5679,,2510319,,,172801,5486,10,0,1eda6ca5763de1cbb26768ab8a752babae324c75
4782,13-10-2020,MA,140412,2306329,4857515,514,87,,116364,A+,9630,12899,4857515,,179559,137565,9413,13,17,f32f26ba1668fc91c6b62e856d5b3067835a2544
4783,13-10-2020,MD,132343,1618966,2934933,402,102,,7744,A,4012,16150,2934933,,158779,132343,3868,9,43,50279b6548bc9a74034faef3c8d8ebd353ea7182
4784,13-10-2020,ME,5780,508498,514278,8,3,,5006,A+,143,463,513658,506879,6462,5160,142,0,0,215156c9d8a39bdb7a6ebd258dc1260d2f4ad60b
4785,13-10-2020,MI,152862,3946697,4099559,899,230,,104271,A+,7255,,4136648,3946697,189951,137702,6928,30,0,28c3c7e393788748badca5e508d2323f38f58acf
4786,13-10-2020,MN,114574,1486287,2355124,481,134,,102624,A,2204,8500,,,,114574,2151,7,79,56a296603d438d4125903a60b2a77f5a8ab98a2e
4787,13-10-2020,MO,144230,1303437,2075699,1313,,,,B,2422,,2075699,1908333,163531,144230,,0,0,b782fe70718b2ca867a238262dc95556294c615a
4788,13-10-2020,MP,77,15121,15198,,,,29,D,2,4,19835,,,77,2,0,0,f0a4abce8ab1ebd2ffe2cfdfde46f7e99458c083
4789,13-10-2020,MS,105941,704655,810596,600,145,,94165,A+,3115,6237,796968,,,95966,2839,14,0,6b64d6807b102c6e08582c8c1aba9b318010cacc
4790,13-10-2020,MT,19611,390040,409651,294,,,11620,C,217,911,409651,,,19611,,5,7,d4a42daca1f90657a2836f0a393a29f91a774c9f
4791,13-10-2020,NC,234481,3210102,3444583,1103,306,,206471,A+,3816,,3437598,,,227496,3774,43,0,0f9dcc9bc66b014654a4fb1a25e3af61de745759
4792,13-10-2020,ND,28163,233500,696068,206,41,,23288,B,362,1126,723102,,,28123,,12,27,4ceab4efc79c4d0486a0820e8730b89373771906
4793,13-10-2020,NE,52839,462654,734692,299,,,36734,A,522,2543,734692,670224,63121,52839,,3,17,e3c91bd17e683141a74b8c922a13d5413c83efbe
4794,13-10-2020,NH,9279,288926,508079,17,,,8036,B,456,758,508079,,,8924,,0,6,6e853018dc7a826eab5945b3357905ff88c537a4
4795,13-10-2020,NJ,221607,3757500,3979107,649,160,,35509,B,16182,23977,3971597,,,215085,14394,7,71,c64a7756d637b6ada0596b430f36c391d40e138a
4796,13-10-2020,NM,33713,977607,1011320,125,,,18960,B,918,3758,1011320,,,,,3,23,0021ff891a17fb506cd366baa2f0b94ae76a5180
4797,13-10-2020,NV,86835,656842,1114916,505,130,,,A+,1674,,1147363,,,86835,,10,0,4df41d8a80579be2fe23524557f3fa8259676d8e
4798,13-10-2020,NY,476708,11753728,12230436,923,181,,77755,B,25598,89995,,,,,,11,0,c811a7569522e33b1e5042bdec09376754ded875
4799,13-10-2020,OH,171626,3527115,3697762,1016,271,,144903,A+,5017,16565,3697762,,183459,161678,4709,12,123,c8eba2eae56a1de9cebcee5fd050bae11f0aa151
4800,13-10-2020,OK,101493,1272223,1373716,760,277,,86502,A+,1119,7265,1387428,1272223,113046,101493,,15,-19,127c9f18132c0541e939ccb626df6fd0aa4a56fc
4801,13-10-2020,OR,37780,713497,1218594,210,47,,5870,A+,605,2817,1218594,1156129,62465,35878,,6,13,92ce479875c095da47afdb1db69f5bd613bb1078
4802,13-10-2020,PA,174646,2060093,2234739,773,,,139716,A+,8384,,3416876,,,168253,,16,0,d2cd60f902cdb58e4cc7a8324c2581b0a00b5dbd
4803,13-10-2020,PR,27139,305972,333111,303,54,,24552,B,738,,310546,303412,7002,27139,557,3,0,12af577c43f112b068318018b24a43888c08e9b5
4804,13-10-2020,RI,26960,353734,905649,126,13,,2463,A+,1139,2961,,868550,37099,,,2,0,a7de5891ba5ab27a447e209eaa64390ff7ed49bc
4805,13-10-2020,SC,158883,1352598,1511481,745,201,,79110,A+,3576,9654,1505561,1305735,199826,152963,3371,17,54,375cc4939c66ac9f5a144bc26e54e9a3152c52d0
4806,13-10-2020,SD,29339,191063,220402,303,,,23007,A,288,1911,338717,,,28707,,0,25,766566c3135ed85036d5838a16350a9b4dcc331f
4807,13-10-2020,TN,218829,3006795,3225624,1245,339,,196940,A+,2797,9309,3215401,2961490,253911,208606,2667,23,61,301f83e10e1a982797443d23618d31d3a6c4bab2
4808,13-10-2020,TX,800256,6465786,7266042,4053,1237,,708349,A,16622,,7266042,,874204,800256,,64,0,bc2a96e3990eeb108fb3db542ba5adfbaf872e0b
4809,13-10-2020,UT,87819,821305,1194421,254,90,392,64583,A+,522,4383,1194421,1099954,94467,87819,,0,52,d3ed45c6234caf40447ae435bc8db1f5c9e139cd
4810,13-10-2020,VA,160805,2141205,2292562,999,200,,18657,A+,3372,11598,,,180768,151357,3132,11,45,2a2baae712085a88d6131a1dbc434cf57c086329
4811,13-10-2020,VI,1325,20737,22062,,,,1289,D,20,,22091,,,,20,0,0,f198f51ed1bc41023456919d91e37c2b8dab945f
